category,text 
Media,november 28 2018 live tv feature added media home system mediamediapersonaltutorial posted creating media home system using kodi sometimes ago configured kodi laptop smart phone use database shared home network help small tv card added live tv feature whole media home media home download save movies tv series musics home lan shared home network aim use nas server attached home lan previously wrote creating media home system using kodi added live tv feature use internet watching digital tv following picture small part home lan home lan nas server installing tv card one ways use windows decode digital tv signals share network nextpvr well job use sharing server windows receive decoded stream attached kodi client tv card nextpvr detect windows 10. related drivers compatible linux helps everywhere kodi 2 using linux decoder ubuntu linux detected automatically tv card mount /dev/dvb/adapter0/frontend0 first tried use linux test working used metv client result successful metv player setup streamer next step find streamer server client kodi small search found vdr tool next steps straight vdr vnsi tool installed steps followed kodi help center final step final step installation vdr vnsi addon every kodi client configuration entered ip address vdr server everything ok. tv radio ability added kodi recorded video features added kodi kodi live tv media center media home osmc currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Media,november 28 2018 live tv feature added media home system mediamediapersonaltutorial posted creating media home system using kodi sometimes ago configured kodi laptop smart phone use database shared home network help small tv card added live tv feature whole media home media home download save movies tv series musics home lan shared home network aim use nas server attached home lan previously wrote creating media home system using kodi added live tv feature use internet watching digital tv following picture small part home lan home lan nas server installing tv card one ways use windows decode digital tv signals share network nextpvr well job use sharing server windows receive decoded stream attached kodi client tv card nextpvr detect windows 10. related drivers compatible linux helps everywhere kodi 2 using linux decoder ubuntu linux detected automatically tv card mount /dev/dvb/adapter0/frontend0 first tried use linux test working used metv client result successful metv player setup streamer next step find streamer server client kodi small search found vdr tool next steps straight vdr vnsi tool installed steps followed kodi help center final step final step installation vdr vnsi addon every kodi client configuration entered ip address vdr server everything ok. tv radio ability added kodi recorded video features added kodi kodi live tv media center media home osmc currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Personal,november 28 2018 live tv feature added media home system mediamediapersonaltutorial posted creating media home system using kodi sometimes ago configured kodi laptop smart phone use database shared home network help small tv card added live tv feature whole media home media home download save movies tv series musics home lan shared home network aim use nas server attached home lan previously wrote creating media home system using kodi added live tv feature use internet watching digital tv following picture small part home lan home lan nas server installing tv card one ways use windows decode digital tv signals share network nextpvr well job use sharing server windows receive decoded stream attached kodi client tv card nextpvr detect windows 10. related drivers compatible linux helps everywhere kodi 2 using linux decoder ubuntu linux detected automatically tv card mount /dev/dvb/adapter0/frontend0 first tried use linux test working used metv client result successful metv player setup streamer next step find streamer server client kodi small search found vdr tool next steps straight vdr vnsi tool installed steps followed kodi help center final step final step installation vdr vnsi addon every kodi client configuration entered ip address vdr server everything ok. tv radio ability added kodi recorded video features added kodi kodi live tv media center media home osmc currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Tutorial,november 28 2018 live tv feature added media home system mediamediapersonaltutorial posted creating media home system using kodi sometimes ago configured kodi laptop smart phone use database shared home network help small tv card added live tv feature whole media home media home download save movies tv series musics home lan shared home network aim use nas server attached home lan previously wrote creating media home system using kodi added live tv feature use internet watching digital tv following picture small part home lan home lan nas server installing tv card one ways use windows decode digital tv signals share network nextpvr well job use sharing server windows receive decoded stream attached kodi client tv card nextpvr detect windows 10. related drivers compatible linux helps everywhere kodi 2 using linux decoder ubuntu linux detected automatically tv card mount /dev/dvb/adapter0/frontend0 first tried use linux test working used metv client result successful metv player setup streamer next step find streamer server client kodi small search found vdr tool next steps straight vdr vnsi tool installed steps followed kodi help center final step final step installation vdr vnsi addon every kodi client configuration entered ip address vdr server everything ok. tv radio ability added kodi recorded video features added kodi kodi live tv media center media home osmc currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
AndroJava,november 24 2018 ilam ctf android reverse writeup androjavawriteup ilam ctf hold 23rd nov 2018. unfortunately planned things 22-23 nov 2018 delay holding ctf attend ctf however could download android reverse question future analysis flag ilam_ctf_0a095194dbcf4f798751aaafdfb_1db6b2ed339f4698b6b38b5e7ae writeup start android reverse writeup installed emulator application crashed ilamctf 1 analyzed crash logs found arithmetic exception mainactivity ilamctf 2 using apk studio jadx found fixed division zero put code ilamctf 3 found key hidden functions playing initial string awxhbv9jdgzfm ilamctf 4 analysis copied code functions java editor started play ilamctf 5 result something like ilamctf 6 see results f3 start change characters mean looks like base64 till f3 change something odd checked functions functions change part input string add new part though encrypted string found cryptographic function call even dynamic call inside code key base64 encoded flag simple test put parts together decoded voila flag ilamctf 7 point added extra part base64 encoded text removed find extra part yoyo.yo function ends arithmetic exception therefore flag ilam_ctf_0a095194dbcf4f798751aaafdfb_1db6b2ed339f4698b6b38b5e7ae original apk attached may interest download ilam ctf android reverse apk android ctf ilamctf writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
WriteUp,november 24 2018 ilam ctf android reverse writeup androjavawriteup ilam ctf hold 23rd nov 2018. unfortunately planned things 22-23 nov 2018 delay holding ctf attend ctf however could download android reverse question future analysis flag ilam_ctf_0a095194dbcf4f798751aaafdfb_1db6b2ed339f4698b6b38b5e7ae writeup start android reverse writeup installed emulator application crashed ilamctf 1 analyzed crash logs found arithmetic exception mainactivity ilamctf 2 using apk studio jadx found fixed division zero put code ilamctf 3 found key hidden functions playing initial string awxhbv9jdgzfm ilamctf 4 analysis copied code functions java editor started play ilamctf 5 result something like ilamctf 6 see results f3 start change characters mean looks like base64 till f3 change something odd checked functions functions change part input string add new part though encrypted string found cryptographic function call even dynamic call inside code key base64 encoded flag simple test put parts together decoded voila flag ilamctf 7 point added extra part base64 encoded text removed find extra part yoyo.yo function ends arithmetic exception therefore flag ilam_ctf_0a095194dbcf4f798751aaafdfb_1db6b2ed339f4698b6b38b5e7ae original apk attached may interest download ilam ctf android reverse apk android ctf ilamctf writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
AndroJava,october 28 2018 t-rex playing dino androjavaprogramming hardly play dino game created google available chrome browser playing internet connection game popular found different platforms recently changed two cacti birds ineffective simple javascript running t-rex version lots free versions game take running t-rex example java script code pretty formatted ready deactivated dino 1 medium android running t-rex version faced android version game started find game finishes based jadx decompiler following code main part detecting game dino 2 based smali code injection techniques deactivated functions dino run freely javascript android dino javascript click see animated gif version dino javascript dino android click see animated gif version dino android dino game reverse engineering t-rex currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Programming,october 28 2018 t-rex playing dino androjavaprogramming hardly play dino game created google available chrome browser playing internet connection game popular found different platforms recently changed two cacti birds ineffective simple javascript running t-rex version lots free versions game take running t-rex example java script code pretty formatted ready deactivated dino 1 medium android running t-rex version faced android version game started find game finishes based jadx decompiler following code main part detecting game dino 2 based smali code injection techniques deactivated functions dino run freely javascript android dino javascript click see animated gif version dino javascript dino android click see animated gif version dino android dino game reverse engineering t-rex currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Media,october 26 2018 turn old pc nas mediamediapersonaltutorial recently collected old hard drives cd/dvd writers packed old computer case order create home nas installed freenas everything ok. 🙂 freenas simplest way create centralized easily accessible place data following construction steps presented making environment nas words written making environments making nas freenas story told pictures old pc first collect disks put inside case freenas1 freenas2 freenas3 installing freenas installing phase decided install usb stick following pictures shows disks attached system freenas4 freenas5 final stage create pools like add disks freenas recommended better disks pools size freenas9 voila everything ok enjoy using features freenas virtualmachine media streaming even minecraft server freenas6 freenas7 freenas8 funny things freenas refer 5 fun things freenas freenas10 freenas nas network attach storage currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Media,october 26 2018 turn old pc nas mediamediapersonaltutorial recently collected old hard drives cd/dvd writers packed old computer case order create home nas installed freenas everything ok. 🙂 freenas simplest way create centralized easily accessible place data following construction steps presented making environment nas words written making environments making nas freenas story told pictures old pc first collect disks put inside case freenas1 freenas2 freenas3 installing freenas installing phase decided install usb stick following pictures shows disks attached system freenas4 freenas5 final stage create pools like add disks freenas recommended better disks pools size freenas9 voila everything ok enjoy using features freenas virtualmachine media streaming even minecraft server freenas6 freenas7 freenas8 funny things freenas refer 5 fun things freenas freenas10 freenas nas network attach storage currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Personal,october 26 2018 turn old pc nas mediamediapersonaltutorial recently collected old hard drives cd/dvd writers packed old computer case order create home nas installed freenas everything ok. 🙂 freenas simplest way create centralized easily accessible place data following construction steps presented making environment nas words written making environments making nas freenas story told pictures old pc first collect disks put inside case freenas1 freenas2 freenas3 installing freenas installing phase decided install usb stick following pictures shows disks attached system freenas4 freenas5 final stage create pools like add disks freenas recommended better disks pools size freenas9 voila everything ok enjoy using features freenas virtualmachine media streaming even minecraft server freenas6 freenas7 freenas8 funny things freenas refer 5 fun things freenas freenas10 freenas nas network attach storage currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Tutorial,october 26 2018 turn old pc nas mediamediapersonaltutorial recently collected old hard drives cd/dvd writers packed old computer case order create home nas installed freenas everything ok. 🙂 freenas simplest way create centralized easily accessible place data following construction steps presented making environment nas words written making environments making nas freenas story told pictures old pc first collect disks put inside case freenas1 freenas2 freenas3 installing freenas installing phase decided install usb stick following pictures shows disks attached system freenas4 freenas5 final stage create pools like add disks freenas recommended better disks pools size freenas9 voila everything ok enjoy using features freenas virtualmachine media streaming even minecraft server freenas6 freenas7 freenas8 funny things freenas refer 5 fun things freenas freenas10 freenas nas network attach storage currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Conference,september 16 2018 p0scon 2018 conferenceuniversityurmia post going write one day cyber-security conference held urmia university technology named protective operational security p0scon urmia university technology decided hold conference cyber-security attended offsec group conference 2017 teharn nopcon2018 istanbul invited people kindly accepted invitation attending making speech p0scon2018 conference held 20 aug 2018 urmia lake research center urmia university following speaker conference amir rasoulihossein lajevardipouya darabinikita tarakanovforough fallahfarbabak amin azadkenan abdullahogluamir kiyani following speakers gave technical session p0scon 2018 mohammad amin karimanmorteza ramezan zadehmohhamd reza zamiri contacting p0scon may follow news stuff p0scon main site available http //www.poscon.ir followings official accounts p0scon twitter p0sconinstagram p0scontelegram channel p0scon p0scon photos 2018 p0scon read conference link p0scon p0scon2018 urmia urmia university technology uut currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
University,september 16 2018 p0scon 2018 conferenceuniversityurmia post going write one day cyber-security conference held urmia university technology named protective operational security p0scon urmia university technology decided hold conference cyber-security attended offsec group conference 2017 teharn nopcon2018 istanbul invited people kindly accepted invitation attending making speech p0scon2018 conference held 20 aug 2018 urmia lake research center urmia university following speaker conference amir rasoulihossein lajevardipouya darabinikita tarakanovforough fallahfarbabak amin azadkenan abdullahogluamir kiyani following speakers gave technical session p0scon 2018 mohammad amin karimanmorteza ramezan zadehmohhamd reza zamiri contacting p0scon may follow news stuff p0scon main site available http //www.poscon.ir followings official accounts p0scon twitter p0sconinstagram p0scontelegram channel p0scon p0scon photos 2018 p0scon read conference link p0scon p0scon2018 urmia urmia university technology uut currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Urmia,september 16 2018 p0scon 2018 conferenceuniversityurmia post going write one day cyber-security conference held urmia university technology named protective operational security p0scon urmia university technology decided hold conference cyber-security attended offsec group conference 2017 teharn nopcon2018 istanbul invited people kindly accepted invitation attending making speech p0scon2018 conference held 20 aug 2018 urmia lake research center urmia university following speaker conference amir rasoulihossein lajevardipouya darabinikita tarakanovforough fallahfarbabak amin azadkenan abdullahogluamir kiyani following speakers gave technical session p0scon 2018 mohammad amin karimanmorteza ramezan zadehmohhamd reza zamiri contacting p0scon may follow news stuff p0scon main site available http //www.poscon.ir followings official accounts p0scon twitter p0sconinstagram p0scontelegram channel p0scon p0scon photos 2018 p0scon read conference link p0scon p0scon2018 urmia urmia university technology uut currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
AndroJava,july 22 2018 asis2014 numdroid write-up androjavawriteup playing android ctf questions recently found jewelry box one questions numeric one way hash question named numdroid question presented asis2014 write write-up find numdroid question question file binary data first bytes known file signatures show file 7ziped file therefore decompressed found files inside compressed file filetype contents extracted file parts apk inside apk zipped files signed self signed key information signing apk archives please refer previous post smali code injection make apk install magic first installed apk order find screen numpad inside back-ok keys first attemp source code another magic sake byte code java code vulnerable decompilation techniques obfuscation method used code clear used jadx good decompiler apk files code fast overview source code found numeric input hashed algorithm inside code checked string verified highlighted code section hash function digest visible isok function password length 7 maximum capturing flag checked next activity shown verification process activity shows md5 input number flag therefore finding flag cracking hash function two ways cracking crypt analysis finding way revert hashed string original value suitable kind challenge bruteforcing ranges 0 9999999 calculating hash select second choice bruteforce range aim write small piece java code bruteforce converted dex file order access smali code.the needed tools javac dx backsmali javac dexing class smali injected smali code inside apk put bruteforce code inside oncreate main activity bruteforce code write flag log android hash value correct bruteforce smali code calling code smali code injection flag finally injection signed installed new apk android emulator voila result recompile sign injected apk flag flag action code md5 3130110 thus flag asis_ 3c56e1ed0597056fef0006c6d1c52463 android asis numdroid smali smali code injection currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
WriteUp,july 22 2018 asis2014 numdroid write-up androjavawriteup playing android ctf questions recently found jewelry box one questions numeric one way hash question named numdroid question presented asis2014 write write-up find numdroid question question file binary data first bytes known file signatures show file 7ziped file therefore decompressed found files inside compressed file filetype contents extracted file parts apk inside apk zipped files signed self signed key information signing apk archives please refer previous post smali code injection make apk install magic first installed apk order find screen numpad inside back-ok keys first attemp source code another magic sake byte code java code vulnerable decompilation techniques obfuscation method used code clear used jadx good decompiler apk files code fast overview source code found numeric input hashed algorithm inside code checked string verified highlighted code section hash function digest visible isok function password length 7 maximum capturing flag checked next activity shown verification process activity shows md5 input number flag therefore finding flag cracking hash function two ways cracking crypt analysis finding way revert hashed string original value suitable kind challenge bruteforcing ranges 0 9999999 calculating hash select second choice bruteforce range aim write small piece java code bruteforce converted dex file order access smali code.the needed tools javac dx backsmali javac dexing class smali injected smali code inside apk put bruteforce code inside oncreate main activity bruteforce code write flag log android hash value correct bruteforce smali code calling code smali code injection flag finally injection signed installed new apk android emulator voila result recompile sign injected apk flag flag action code md5 3130110 thus flag asis_ 3c56e1ed0597056fef0006c6d1c52463 android asis numdroid smali smali code injection currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,june 1 2018 socks rocks good bad ugly anonymity networkspersonaltutorial recently established wired connection server computer mixed protocols openvpn tor socks re-anonimize put “ good bad ugly ” name scenario good picture good bad ugly motivation recently problems isp connecting openvpn free edition vps isp blocked connection vpn find solution hence started investigation matter cause blocking probably isp blocks connection network layer sees openvpn protocol port number packet problem openvpn good must find way bypass isp way tor another tool surfing web anonymity cause lots problems accessing sites google youtube etc using tor browser run tor set socks proxy desired browser order pass javascript limitations set tor browser problem sites google still remains tor bad therefore tor used bypassing isp tor bad ugly socks could connect vpn server tor exit address would vpn server problem sites google would solve found proxifier ugly proxifier proxycap sockscap software pass whole traffic system proxy voila solution openvpn application makes tap driver windows pass system traffic tap steps start tor connect tor network start configure proxifier using tor use obfs fte forget exclude proxifier make connection direct proxy start openvpn gui client connect vpn start infinite ping enjoy using internet actually speed may slower direct connection good download large files tor proxifier openvpn openvpn connected voila socks rocks steps depicted following picture socks rocks final remark use vpn application connecting proxifier drop connection reconnecting cause problems therefore connecting start infinity ping order make vpn application connected openvpn proxifier socks tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Personal,june 1 2018 socks rocks good bad ugly anonymity networkspersonaltutorial recently established wired connection server computer mixed protocols openvpn tor socks re-anonimize put “ good bad ugly ” name scenario good picture good bad ugly motivation recently problems isp connecting openvpn free edition vps isp blocked connection vpn find solution hence started investigation matter cause blocking probably isp blocks connection network layer sees openvpn protocol port number packet problem openvpn good must find way bypass isp way tor another tool surfing web anonymity cause lots problems accessing sites google youtube etc using tor browser run tor set socks proxy desired browser order pass javascript limitations set tor browser problem sites google still remains tor bad therefore tor used bypassing isp tor bad ugly socks could connect vpn server tor exit address would vpn server problem sites google would solve found proxifier ugly proxifier proxycap sockscap software pass whole traffic system proxy voila solution openvpn application makes tap driver windows pass system traffic tap steps start tor connect tor network start configure proxifier using tor use obfs fte forget exclude proxifier make connection direct proxy start openvpn gui client connect vpn start infinite ping enjoy using internet actually speed may slower direct connection good download large files tor proxifier openvpn openvpn connected voila socks rocks steps depicted following picture socks rocks final remark use vpn application connecting proxifier drop connection reconnecting cause problems therefore connecting start infinity ping order make vpn application connected openvpn proxifier socks tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Tutorial,june 1 2018 socks rocks good bad ugly anonymity networkspersonaltutorial recently established wired connection server computer mixed protocols openvpn tor socks re-anonimize put “ good bad ugly ” name scenario good picture good bad ugly motivation recently problems isp connecting openvpn free edition vps isp blocked connection vpn find solution hence started investigation matter cause blocking probably isp blocks connection network layer sees openvpn protocol port number packet problem openvpn good must find way bypass isp way tor another tool surfing web anonymity cause lots problems accessing sites google youtube etc using tor browser run tor set socks proxy desired browser order pass javascript limitations set tor browser problem sites google still remains tor bad therefore tor used bypassing isp tor bad ugly socks could connect vpn server tor exit address would vpn server problem sites google would solve found proxifier ugly proxifier proxycap sockscap software pass whole traffic system proxy voila solution openvpn application makes tap driver windows pass system traffic tap steps start tor connect tor network start configure proxifier using tor use obfs fte forget exclude proxifier make connection direct proxy start openvpn gui client connect vpn start infinite ping enjoy using internet actually speed may slower direct connection good download large files tor proxifier openvpn openvpn connected voila socks rocks steps depicted following picture socks rocks final remark use vpn application connecting proxifier drop connection reconnecting cause problems therefore connecting start infinity ping order make vpn application connected openvpn proxifier socks tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Anonymity Networks,may 28 2018 onion harvester second generation anonymity networksprogrammingsearch engine started project named onion harvester finding onion addresses tor hidden services exposed owners believe real dark markets interesting stuff tor networks relies dark darknet markets dark market always curious dark markets going internet transparent criminals work internet search engine tor would ok. starting complete search engine must know addresses point begin motivation meet anonymous networks tor invisible internet project freenet tribler etc heard operation onymous make excited found markets onion links markets famous silk road always think one could find addresses experience curious indexed urls famous hidden service indexers thehiddenwiki truly sell illegal stuffs swindlers may use hidden network search engines like ahmia.fi torch found onion addresses one live killing operation killing someone online true would sin opened onion address counter screen showing 3 days remain start live torturing killing asked 0.01 btc remember exactly watching killing operation 3 days checked onion address said 3 days kill person live checked html source code found simple script displaying counter statically verify killing done pay strongly guess static script done swindler onion harvester born … tor spy services started developing oh project released first version dec 2017. speed satisfactory published paper oh apa3 conf zahedan iran could get practical way solve issue started use multiple tor instance single pc instead one instance result successful re-implemented onion harvester make arranged mvp design patters improvements use multiple tor instance may visit project github repository comment contribution appreciated dark market onion harvester tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Programming,may 28 2018 onion harvester second generation anonymity networksprogrammingsearch engine started project named onion harvester finding onion addresses tor hidden services exposed owners believe real dark markets interesting stuff tor networks relies dark darknet markets dark market always curious dark markets going internet transparent criminals work internet search engine tor would ok. starting complete search engine must know addresses point begin motivation meet anonymous networks tor invisible internet project freenet tribler etc heard operation onymous make excited found markets onion links markets famous silk road always think one could find addresses experience curious indexed urls famous hidden service indexers thehiddenwiki truly sell illegal stuffs swindlers may use hidden network search engines like ahmia.fi torch found onion addresses one live killing operation killing someone online true would sin opened onion address counter screen showing 3 days remain start live torturing killing asked 0.01 btc remember exactly watching killing operation 3 days checked onion address said 3 days kill person live checked html source code found simple script displaying counter statically verify killing done pay strongly guess static script done swindler onion harvester born … tor spy services started developing oh project released first version dec 2017. speed satisfactory published paper oh apa3 conf zahedan iran could get practical way solve issue started use multiple tor instance single pc instead one instance result successful re-implemented onion harvester make arranged mvp design patters improvements use multiple tor instance may visit project github repository comment contribution appreciated dark market onion harvester tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Search Engine,may 28 2018 onion harvester second generation anonymity networksprogrammingsearch engine started project named onion harvester finding onion addresses tor hidden services exposed owners believe real dark markets interesting stuff tor networks relies dark darknet markets dark market always curious dark markets going internet transparent criminals work internet search engine tor would ok. starting complete search engine must know addresses point begin motivation meet anonymous networks tor invisible internet project freenet tribler etc heard operation onymous make excited found markets onion links markets famous silk road always think one could find addresses experience curious indexed urls famous hidden service indexers thehiddenwiki truly sell illegal stuffs swindlers may use hidden network search engines like ahmia.fi torch found onion addresses one live killing operation killing someone online true would sin opened onion address counter screen showing 3 days remain start live torturing killing asked 0.01 btc remember exactly watching killing operation 3 days checked onion address said 3 days kill person live checked html source code found simple script displaying counter statically verify killing done pay strongly guess static script done swindler onion harvester born … tor spy services started developing oh project released first version dec 2017. speed satisfactory published paper oh apa3 conf zahedan iran could get practical way solve issue started use multiple tor instance single pc instead one instance result successful re-implemented onion harvester make arranged mvp design patters improvements use multiple tor instance may visit project github repository comment contribution appreciated dark market onion harvester tor currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
AndroJava,march 26 2018 8st sharifctf android writeups vol ii androjavapersonalwriteup second final writeup android challenges given 8st sharif ctf wrote team place 8st sharifctf android writeups vol i. writeup begins … skeleton 1 installing skeleton like question installed app look like virtual device api19 android emulator see skeleton laughs skeleton 2 activity button request location etc appeared app mention question misc section looking code followed instructions 8st sharifctf android writeups vol post investigate inside source code app jd gui dex2jar apk tool helped skeleton 3 app mainactivity inside loads scalable vector graphics image web view svg images built vectors therefore zoomed zoomed without loosing quality best editor know editing svg images ink scape svg attack vector say available svg image started investigate svg using apk tool extracted logo.svg file svg structure svg images mark files html xml vectors defined opened logo.svg text editor skeleton 4 taught inkscape used make edit skeleton writeup investigated markup found interesting point two graphics inside image one id layer1 text4146 skeleton 5 see one graphics skeleton paths graphics text4146 suspicious therefore opened logo.svg inkscape skeleton 6 moving laughing skeleton found text4146 skeleton 7 voila zooming text4146 flag visible skeleton 8 flag sharifctf be278492ae9b998eaebe3ca54c8000de skeleton fun android ctf sharifctf svg writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Personal,march 26 2018 8st sharifctf android writeups vol ii androjavapersonalwriteup second final writeup android challenges given 8st sharif ctf wrote team place 8st sharifctf android writeups vol i. writeup begins … skeleton 1 installing skeleton like question installed app look like virtual device api19 android emulator see skeleton laughs skeleton 2 activity button request location etc appeared app mention question misc section looking code followed instructions 8st sharifctf android writeups vol post investigate inside source code app jd gui dex2jar apk tool helped skeleton 3 app mainactivity inside loads scalable vector graphics image web view svg images built vectors therefore zoomed zoomed without loosing quality best editor know editing svg images ink scape svg attack vector say available svg image started investigate svg using apk tool extracted logo.svg file svg structure svg images mark files html xml vectors defined opened logo.svg text editor skeleton 4 taught inkscape used make edit skeleton writeup investigated markup found interesting point two graphics inside image one id layer1 text4146 skeleton 5 see one graphics skeleton paths graphics text4146 suspicious therefore opened logo.svg inkscape skeleton 6 moving laughing skeleton found text4146 skeleton 7 voila zooming text4146 flag visible skeleton 8 flag sharifctf be278492ae9b998eaebe3ca54c8000de skeleton fun android ctf sharifctf svg writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
WriteUp,march 26 2018 8st sharifctf android writeups vol ii androjavapersonalwriteup second final writeup android challenges given 8st sharif ctf wrote team place 8st sharifctf android writeups vol i. writeup begins … skeleton 1 installing skeleton like question installed app look like virtual device api19 android emulator see skeleton laughs skeleton 2 activity button request location etc appeared app mention question misc section looking code followed instructions 8st sharifctf android writeups vol post investigate inside source code app jd gui dex2jar apk tool helped skeleton 3 app mainactivity inside loads scalable vector graphics image web view svg images built vectors therefore zoomed zoomed without loosing quality best editor know editing svg images ink scape svg attack vector say available svg image started investigate svg using apk tool extracted logo.svg file svg structure svg images mark files html xml vectors defined opened logo.svg text editor skeleton 4 taught inkscape used make edit skeleton writeup investigated markup found interesting point two graphics inside image one id layer1 text4146 skeleton 5 see one graphics skeleton paths graphics text4146 suspicious therefore opened logo.svg inkscape skeleton 6 moving laughing skeleton found text4146 skeleton 7 voila zooming text4146 flag visible skeleton 8 flag sharifctf be278492ae9b998eaebe3ca54c8000de skeleton fun android ctf sharifctf svg writeup currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Cryptocurrency,march 18 2018 miner found cryptocurrencycryptographyuniversity interested movies visit lots movie sites recently visited site called yifytorrents found bitcoin miner site post write found miner acts bitcoin miner 1 1-visiting site visited yify-torrent.me suddenly firefox asked firewall incoming connection request site good looking valid certificate uses https connection asked firewall exception bitcoin miner 2 disallowed request continued investigate site 2-miner found started investigate html source code site found bitcoin miner inside picture shows miner code bitcoin miner 4 checked code miner link shown obfuscated started eval command bitcoin miner 5 bitcoin miner 6 checking addons also checked site nocoin addon firefox fortunately could detect miner bitcoin miner 3 update checked site 11 mar 2018 writing post 18 mar 2018. luckily comodo detected blocked site bitcoin miner 7 bitcoin miner currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
Cryptography,march 18 2018 miner found cryptocurrencycryptographyuniversity interested movies visit lots movie sites recently visited site called yifytorrents found bitcoin miner site post write found miner acts bitcoin miner 1 1-visiting site visited yify-torrent.me suddenly firefox asked firewall incoming connection request site good looking valid certificate uses https connection asked firewall exception bitcoin miner 2 disallowed request continued investigate site 2-miner found started investigate html source code site found bitcoin miner inside picture shows miner code bitcoin miner 4 checked code miner link shown obfuscated started eval command bitcoin miner 5 bitcoin miner 6 checking addons also checked site nocoin addon firefox fortunately could detect miner bitcoin miner 3 update checked site 11 mar 2018 writing post 18 mar 2018. luckily comodo detected blocked site bitcoin miner 7 bitcoin miner currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
University,march 18 2018 miner found cryptocurrencycryptographyuniversity interested movies visit lots movie sites recently visited site called yifytorrents found bitcoin miner site post write found miner acts bitcoin miner 1 1-visiting site visited yify-torrent.me suddenly firefox asked firewall incoming connection request site good looking valid certificate uses https connection asked firewall exception bitcoin miner 2 disallowed request continued investigate site 2-miner found started investigate html source code site found bitcoin miner inside picture shows miner code bitcoin miner 4 checked code miner link shown obfuscated started eval command bitcoin miner 5 bitcoin miner 6 checking addons also checked site nocoin addon firefox fortunately could detect miner bitcoin miner 3 update checked site 11 mar 2018 writing post 18 mar 2018. luckily comodo detected blocked site bitcoin miner 7 bitcoin miner currently candidate urmia university interested social network analysis big data mining nlp academical field well guitar nature android view posts previous post next post
